ZONEID,TIMESTAMP,LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
1,3202001 17:00,,59,48,34,44,58,52,54,58,34,54,41,45,56,56,43,57,44,55,37,54,48,50,46,45,46
1,3202001 18:00,,57,48,35,44,56,51,54,57,34,54,41,45,56,56,44,57,44,55,36,55,48,50,48,45,46
1,3202001 19:00,,54,46,34,44,53,50,55,55,32,53,42,45,53,57,44,59,44,57,37,57,47,54,48,46,47
1,3202001 20:00,,50,48,34,45,51,50,57,53,32,52,42,45,51,56,44,60,45,59,39,59,47,54,50,47,48
1,3202001 21:00,,48,49,35,44,49,51,58,51,32,54,42,45,49,56,45,60,44,61,37,61,47,54,50,48,48
1,3202001 22:00,,46,50,35,45,48,52,59,50,32,54,42,46,48,56,45,57,43,61,41,60,47,54,50,47,50
1,3202001 23:00,,45,51,37,45,47,54,59,49,32,52,42,46,47,57,45,56,43,61,41,60,47,55,50,47,52
1,3212001 0:00,,44,52,35,45,46,54,60,48,32,54,42,45,46,58,47,54,45,61,41,57,49,59,50,47,52
1,3212001 1:00,,43,54,35,45,45,55,60,47,33,55,43,45,45,58,48,54,45,61,43,55,49,59,50,48,50
1,3212001 2:00,,41,55,35,44,44,55,56,45,34,55,43,46,43,60,47,54,44,61,43,54,50,55,50,48,51
1,3212001 3:00,,40,55,35,44,43,56,54,45,36,55,43,46,43,59,46,53,44,57,43,54,49,59,50,48,51
1,3212001 4:00,,39,55,36,43,43,57,54,44,36,55,43,45,42,60,46,54,43,55,43,52,52,55,50,47,53
1,3212001 5:00,,38,55,36,43,42,58,50,43,36,54,42,45,41,55,46,52,43,54,43,54,50,54,52,47,52
1,3212001 6:00,,38,54,35,44,42,57,52,43,36,54,42,45,41,54,46,51,44,55,43,54,52,54,50,48,53
1,3212001 7:00,,37,54,35,44,41,56,52,42,36,54,42,45,40,54,47,52,44,55,43,54,53,54,52,48,53
1,3212001 8:00,,37,54,34,44,41,57,54,42,36,55,43,45,40,58,48,53,44,55,43,54,55,54,52,49,53
1,3212001 9:00,,40,55,36,44,45,61,55,46,34,57,43,45,42,61,49,53,44,55,44,55,55,55,52,50,53
1,3212001 10:00,,43,57,37,44,48,63,56,49,32,54,44,46,44,61,49,53,44,55,46,55,58,59,54,52,55
1,3212001 11:00,,45,59,39,45,51,66,56,51,28,54,45,48,46,58,50,54,45,55,48,54,61,59,53,52,56
1,3212001 12:00,,46,59,40,46,53,66,55,54,36,53,45,46,47,61,50,56,46,55,50,55,57,55,52,53,55
1,3212001 13:00,,48,57,41,47,54,64,56,55,37,52,47,46,48,58,51,55,47,57,50,58,56,55,52,54,57
1,3212001 14:00,,48,55,42,46,56,61,59,56,36,52,46,50,49,58,52,55,46,57,48,57,57,57,52,52,58
1,3212001 15:00,,49,57,41,48,56,61,59,57,36,54,46,50,50,59,50,55,48,57,46,55,59,58,53,50,52
1,3212001 16:00,,49,59,41,47,56,61,57,58,36,52,47,46,50,57,50,54,47,57,43,55,57,59,53,50,52
1,3212001 17:00,,49,59,40,49,56,59,56,58,36,54,46,46,50,56,50,53,49,55,39,55,57,55,54,51,53
1,3212001 18:00,,48,54,39,49,54,57,54,57,36,52,46,46,50,55,50,52,49,54,36,54,53,54,54,50,50
1,3212001 19:00,,47,52,39,47,53,56,52,56,34,50,44,46,49,53,47,51,47,52,40,52,51,54,52,50,50
1,3212001 20:00,,49,52,39,47,51,53,51,49,34,50,44,46,48,52,47,51,47,53,43,50,51,54,52,49,49
1,3212001 21:00,,46,52,39,46,50,50,51,49,34,50,44,45,46,52,46,50,46,52,43,49,50,54,50,47,49
1,3212001 22:00,,46,52,41,43,49,50,50,49,36,50,44,45,46,51,46,50,45,52,43,49,48,50,50,47,49
1,3212001 23:00,,46,52,43,42,49,48,50,49,36,50,43,45,46,51,45,49,41,50,43,49,48,50,50,46,49
1,3222001 0:00,,45,52,43,40,48,47,49,49,36,50,43,45,46,50,46,49,40,50,43,48,48,50,48,46,48
1,3222001 1:00,,45,50,44,40,48,46,49,49,36,49,43,45,45,50,46,49,40,49,43,48,48,50,48,46,48
1,3222001 2:00,,45,47,44,40,47,48,49,48,37,49,42,44,45,50,45,49,40,49,42,47,48,49,48,45,46
1,3222001 3:00,,41,45,45,42,47,48,48,47,36,48,41,43,46,50,44,49,42,49,42,47,47,48,48,45,46
1,3222001 4:00,,39,45,45,42,46,48,48,46,36,48,39,43,45,50,45,49,42,48,45,46,47,46,46,46,45
1,3222001 5:00,,37,45,44,41,46,49,48,42,37,47,40,43,40,50,42,49,41,48,45,46,46,46,46,46,45
1,3222001 6:00,,36,45,44,43,46,47,48,44,36,46,40,43,45,50,42,49,43,48,45,48,44,47,46,44,45
1,3222001 7:00,,42,45,44,43,45,46,48,49,33,46,44,41,45,50,42,49,43,47,46,48,44,48,46,44,44
1,3222001 8:00,,48,45,44,49,45,46,48,47,37,49,49,46,50,49,46,50,49,46,48,48,44,48,48,46,46
1,3222001 9:00,,54,48,46,52,51,47,50,51,37,52,52,52,53,48,50,52,52,48,52,52,44,54,54,51,50
1,3222001 10:00,,55,52,49,56,55,47,51,55,37,52,55,55,56,48,54,56,56,52,54,54,46,54,57,54,53
1,3222001 11:00,,48,54,50,59,59,49,54,59,37,57,57,57,59,50,56,58,59,54,54,55,47,59,61,57,56
1,3222001 12:00,,49,55,53,61,62,53,55,60,41,59,58,61,63,50,58,60,61,55,55,59,48,59,63,60,59
1,3222001 13:00,,51,59,55,63,64,55,59,63,41,61,60,61,53,54,60,62,63,56,59,61,52,61,64,63,62
1,3222001 14:00,,51,61,56,63,65,58,61,64,45,64,59,61,55,55,61,65,63,61,57,64,56,63,66,64,64
1,3222001 15:00,,52,61,57,65,66,61,63,59,45,64,58,61,55,56,62,66,65,63,59,64,58,64,68,64,64
1,3222001 16:00,,52,61,56,64,66,62,63,59,45,64,60,61,63,59,60,67,64,64,59,64,60,64,66,63,64
1,3222001 17:00,,52,61,55,63,66,62,63,59,45,64,59,61,63,59,58,67,63,63,57,64,60,64,66,61,62
1,3222001 18:00,,51,61,54,60,62,60,62,63,45,63,57,61,57,56,57,65,60,63,55,63,56,63,64,59,59
1,3222001 19:00,,56,57,51,56,58,58,59,57,43,59,54,57,54,54,54,61,56,57,54,59,53,61,61,56,56
1,3222001 20:00,,47,54,48,54,53,55,58,55,41,57,53,55,54,55,53,57,54,55,52,57,52,59,57,54,54
1,3222001 21:00,,45,54,48,53,51,53,56,54,41,55,51,50,52,55,51,54,53,55,50,55,51,55,55,51,52
1,3222001 22:00,,44,52,47,52,48,51,53,50,41,54,50,52,52,51,50,52,55,52,50,54,50,54,50,52,51
1,3222001 23:00,,43,52,47,50,47,47,52,46,37,54,49,50,48,47,49,47,54,52,46,50,50,54,48,51,51
1,3232001 0:00,,42,45,45,48,46,44,50,48,37,48,46,45,42,42,49,47,48,50,46,50,50,54,46,49,49
1,3232001 1:00,,42,41,44,45,45,45,51,49,37,43,44,43,39,49,43,49,45,50,45,50,48,50,46,43,46
1,3232001 2:00,,41,37,43,45,42,44,47,48,37,43,38,43,36,52,40,49,45,52,43,46,46,46,41,44,45
1,3232001 3:00,,40,39,43,43,41,43,45,42,37,43,42,37,41,51,38,48,43,43,43,45,45,46,41,43,44
1,3232001 4:00,,39,36,42,43,40,41,45,41,37,43,39,37,40,51,37,45,43,43,43,43,43,45,41,40,43
1,3232001 5:00,,39,36,40,40,39,40,44,40,37,43,39,37,36,50,41,45,43,43,36,41,43,45,39,38,41
1,3232001 6:00,,38,36,38,43,39,40,43,34,37,44,43,36,36,49,40,43,43,45,32,39,43,43,37,37,41
1,3232001 7:00,,38,36,38,40,37,42,44,35,37,45,41,36,38,50,41,43,40,46,34,39,44,45,39,35,42
1,3232001 8:00,,38,45,43,46,37,47,49,44,37,50,47,46,50,51,46,50,46,50,45,48,47,48,47,44,48
1,3232001 9:00,,46,52,48,54,46,51,53,54,39,54,51,50,55,52,51,54,54,54,50,54,50,54,55,51,52
1,3232001 10:00,,52,54,51,56,53,55,56,57,41,57,54,55,57,53,55,57,56,55,54,57,54,59,57,55,55
1,3232001 11:00,,57,55,54,58,58,58,59,59,45,59,56,57,59,55,58,60,58,59,57,61,55,61,61,58,58
1,3232001 12:00,,61,59,57,60,62,60,61,61,46,61,58,59,63,57,59,62,60,60,59,63,57,61,64,61,60
1,3232001 13:00,,64,61,60,63,65,61,63,62,48,63,62,61,64,59,62,64,63,64,61,64,60,63,64,63,61
1,3232001 14:00,,66,61,62,66,67,62,65,64,50,64,64,63,66,57,63,66,66,63,63,64,60,64,70,65,62
1,3232001 15:00,,67,62,63,66,68,63,65,65,52,64,65,63,68,56,64,67,66,63,64,66,61,64,68,65,64
1,3232001 16:00,,67,62,62,67,68,63,65,66,52,64,64,64,63,56,66,68,67,63,63,66,62,66,70,66,65
1,3232001 17:00,,67,62,61,68,68,62,64,70,52,64,64,66,63,55,65,66,68,61,63,66,62,64,68,66,64
1,3232001 18:00,,64,63,58,65,64,59,61,63,50,64,62,63,66,54,63,64,65,55,60,64,60,64,66,65,62
1,3232001 19:00,,61,59,56,59,60,54,57,58,46,59,57,61,61,54,59,59,59,52,57,55,59,59,59,60,58
1,3232001 20:00,,57,52,51,55,55,53,52,60,46,54,54,59,54,53,52,54,55,50,54,52,57,55,52,53,52
1,3232001 21:00,,53,50,49,51,52,51,47,56,46,52,52,52,45,53,48,53,51,55,54,52,55,54,50,49,45
1,3232001 22:00,,51,45,43,52,50,49,49,53,46,51,48,50,43,53,47,51,50,55,46,52,54,50,50,49,42
1,3232001 23:00,,50,43,42,50,48,48,46,51,45,50,50,45,40,54,44,50,46,55,50,49,52,45,50,44,42
1,3242001 0:00,,49,39,38,48,47,42,46,49,45,46,47,43,38,53,43,50,48,45,45,46,48,46,48,43,41
1,3242001 1:00,,47,37,36,47,46,44,47,47,45,41,42,43,45,53,41,49,47,43,39,46,43,45,46,41,38
1,3242001 2:00,,45,36,33,43,43,41,45,45,43,41,43,41,43,52,41,49,43,43,39,46,44,45,46,40,40
1,3242001 3:00,,44,36,33,44,42,38,43,43,43,37,42,41,36,52,40,48,44,39,37,45,40,43,43,40,38
1,3242001 4:00,,43,36,32,43,41,40,44,42,45,37,43,41,36,48,39,46,43,47,37,45,38,43,41,40,40
1,3242001 5:00,,42,34,31,42,40,40,42,40,45,40,39,37,34,43,38,43,42,39,36,45,40,43,41,40,37
1,3242001 6:00,,41,34,31,39,40,43,37,39,45,43,36,37,34,42,37,42,39,37,37,43,39,41,37,37,37
1,3242001 7:00,,40,36,32,38,38,44,40,38,45,43,39,37,36,50,41,42,38,37,36,43,43,45,39,40,41
1,3242001 8:00,,40,48,37,47,38,54,51,38,46,50,47,46,48,53,50,52,47,49,45,48,53,54,46,48,50
1,3242001 9:00,,48,55,44,58,47,58,60,45,46,59,54,59,63,56,58,60,58,59,50,59,58,61,57,57,58
1,3242001 10:00,,54,61,52,63,53,60,66,51,46,66,60,63,66,57,64,69,63,61,59,64,63,64,68,63,64
1,3242001 11:00,,58,64,57,66,58,64,69,56,52,70,64,66,70,60,68,70,66,62,63,70,67,70,72,68,67
1,3242001 12:00,,62,72,61,70,62,68,72,60,54,72,67,68,72,57,69,72,70,62,66,72,69,73,73,70,69
1,3242001 13:00,,65,72,62,71,65,70,73,63,57,73,70,70,61,61,71,73,71,70,70,73,71,73,75,73,71
1,3242001 14:00,,67,72,64,72,67,72,74,65,55,73,70,70,63,63,71,72,72,70,70,73,71,73,77,74,71
1,3242001 15:00,,68,72,63,71,68,72,74,67,54,73,71,70,65,61,72,72,71,70,70,72,73,73,77,74,73
1,3242001 16:00,,68,73,61,70,68,72,72,68,50,73,69,72,66,60,72,69,70,68,66,72,72,73,77,74,73
1,3242001 17:00,,68,72,60,69,68,71,69,68,46,73,68,70,66,60,70,68,69,66,64,68,71,73,75,73,72
1,3242001 18:00,,66,72,59,67,65,68,67,67,46,70,66,70,72,58,69,66,67,64,59,66,70,73,72,70,69
1,3242001 19:00,,63,64,57,65,61,64,63,64,43,66,65,68,61,58,68,63,65,63,55,64,55,68,68,65,64
1,3242001 20:00,,59,64,53,63,58,63,62,60,41,64,59,64,58,58,64,62,63,61,54,63,52,64,68,67,64
1,3242001 21:00,,57,63,49,60,55,60,60,57,37,63,56,63,56,58,58,62,60,60,52,61,51,64,66,60,62
1,3242001 22:00,,55,59,48,60,53,55,58,55,37,61,54,57,54,59,55,61,57,60,46,61,50,63,66,57,57
1,3242001 23:00,,54,55,47,57,52,55,59,54,36,61,51,55,52,59,53,61,55,59,45,59,49,59,66,55,55
1,3252001 0:00,,53,54,44,54,51,52,59,52,34,60,48,55,51,59,53,60,54,57,43,59,48,59,61,53,53
1,3252001 1:00,,52,54,43,51,50,51,58,51,34,59,46,52,49,57,51,58,51,57,43,57,46,54,57,51,52
1,3252001 2:00,,50,52,42,50,48,48,56,49,32,55,44,50,47,52,48,56,50,57,43,59,46,54,55,50,51
1,3252001 3:00,,49,52,41,48,47,47,54,48,32,55,44,46,46,50,47,57,48,55,41,55,45,54,54,49,50
1,3252001 4:00,,48,46,39,46,46,46,52,47,30,52,43,45,45,49,46,57,46,52,37,54,44,46,52,48,49
1,3252001 5:00,,47,45,37,45,46,46,51,46,28,50,42,43,44,47,46,53,45,52,36,52,43,46,50,47,49
1,3252001 6:00,,47,45,36,44,45,46,49,45,28,48,39,43,43,47,45,52,44,48,36,52,42,46,50,47,47
1,3252001 7:00,,46,45,35,44,44,45,48,44,28,46,39,43,42,46,44,51,44,48,36,48,42,46,50,47,47
1,3252001 8:00,,46,45,37,44,44,44,48,44,28,48,39,43,42,45,45,51,44,47,36,48,41,46,50,46,47
1,3252001 9:00,,54,45,39,45,54,44,45,52,32,48,40,43,50,44,44,50,45,46,37,46,41,46,50,46,48
1,3252001 10:00,,60,45,42,47,61,44,45,58,32,48,41,43,55,45,45,49,47,45,43,45,42,46,50,47,48
1,3252001 11:00,,49,45,44,49,67,44,45,64,36,48,44,46,61,42,47,48,49,45,43,45,42,48,50,47,48
1,3252001 12:00,,50,45,46,51,71,44,45,68,36,48,47,50,64,41,47,45,51,43,46,45,42,50,50,49,48
1,3252001 13:00,,51,46,49,52,74,44,45,71,37,48,49,50,67,40,51,55,52,45,50,45,43,48,52,49,50
1,3252001 14:00,,52,47,51,51,76,44,45,74,41,48,50,50,70,41,51,65,51,45,52,45,43,48,54,51,51
1,3252001 15:00,,53,47,52,55,77,43,45,76,41,50,53,50,72,41,51,66,54,45,54,46,44,50,54,53,51
1,3252001 16:00,,54,48,52,56,77,43,45,77,41,50,53,50,73,41,54,67,56,45,54,46,44,48,55,55,52
1,3252001 17:00,,53,48,51,55,77,43,45,77,41,50,53,50,73,42,55,67,55,45,54,46,43,48,54,55,52
1,3252001 18:00,,53,45,48,54,72,42,45,75,41,50,51,50,73,42,52,49,54,45,52,46,41,46,54,53,50
1,3252001 19:00,,50,43,45,49,67,41,44,71,37,46,48,50,67,43,44,47,49,45,50,45,39,45,50,50,47
1,3252001 20:00,,47,39,43,47,61,41,44,65,36,43,47,46,61,43,42,47,47,45,46,43,38,45,48,47,44
1,3252001 21:00,,54,37,42,47,57,40,43,60,36,41,48,46,56,43,42,45,47,43,45,41,38,43,46,47,41
1,3252001 22:00,,56,37,41,48,54,39,41,57,34,41,49,46,53,44,44,44,50,43,45,39,38,41,46,46,40
1,3252001 23:00,,54,36,39,47,52,37,38,54,32,39,49,46,51,43,45,43,48,41,45,37,37,41,46,45,39
1,3262001 0:00,,52,34,37,48,50,37,36,52,32,38,47,46,49,44,45,41,48,37,43,36,34,41,46,45,38
1,3262001 1:00,,51,34,35,47,49,37,35,50,28,37,46,46,46,42,44,40,47,36,43,35,34,41,45,44,38
1,3262001 2:00,,48,36,34,45,46,38,35,47,28,37,44,45,43,41,43,38,45,34,41,34,36,41,45,44,40
1,3262001 3:00,,47,36,33,44,44,37,35,45,27,37,42,43,41,40,45,38,44,34,37,34,36,41,45,45,40
1,3262001 4:00,,45,37,31,43,43,40,35,43,23,37,41,45,39,40,44,37,43,34,36,35,38,41,45,45,40
1,3262001 5:00,,44,37,29,42,42,38,38,41,21,39,40,43,37,40,41,40,42,34,34,36,40,41,45,43,42
1,3262001 6:00,,43,37,27,40,41,39,39,40,21,41,38,43,36,35,41,42,40,37,32,39,37,43,45,41,38
1,3262001 7:00,,42,37,26,38,39,40,40,39,19,41,35,41,35,42,40,44,38,41,32,43,37,43,43,41,36
1,3262001 8:00,,42,36,27,40,39,39,43,39,19,39,35,41,35,49,39,45,40,45,32,43,38,41,41,42,36
1,3262001 9:00,,47,37,28,42,42,39,44,42,21,39,37,41,40,50,40,45,42,48,34,43,38,37,43,42,37
1,3262001 10:00,,50,41,31,44,45,39,42,44,23,39,38,41,44,50,42,45,44,45,36,43,38,41,50,44,42
1,3262001 11:00,,53,45,35,45,47,41,44,46,27,43,40,43,47,48,43,45,45,45,37,45,39,41,50,46,46
1,3262001 12:00,,55,50,38,47,48,44,47,47,28,48,42,45,49,48,45,49,47,46,39,48,39,46,52,47,48
1,3262001 13:00,,56,52,40,48,49,43,47,48,32,50,43,45,51,46,46,51,48,48,43,48,40,47,54,47,49
1,3262001 14:00,,57,52,43,49,50,46,49,49,32,52,43,46,53,46,47,53,49,48,45,52,42,47,54,49,49
1,3262001 15:00,,58,52,44,50,50,45,51,50,32,54,45,50,54,46,47,54,49,48,45,54,43,47,54,49,50
1,3262001 16:00,,58,52,43,50,50,46,52,50,34,52,47,48,55,45,48,55,50,52,45,54,42,48,53,49,49
1,3262001 17:00,,57,52,43,51,49,45,52,50,32,52,46,46,55,43,47,55,49,52,43,54,41,48,52,49,48
1,3262001 18:00,,56,45,40,49,48,42,49,49,32,50,45,46,55,42,46,52,49,50,43,52,39,48,52,47,46
1,3262001 19:00,,53,43,37,45,46,40,46,47,30,46,43,43,50,40,39,48,45,46,37,46,38,45,46,43,42
1,3262001 20:00,,37,37,36,43,43,39,44,44,28,43,40,37,37,40,35,47,43,45,36,45,38,43,45,38,37
1,3262001 21:00,,44,37,34,41,41,38,44,42,28,43,38,41,37,41,38,44,41,45,36,43,37,37,39,38,34
1,3262001 22:00,,44,36,31,39,40,37,41,41,27,39,36,37,35,41,37,41,37,39,34,40,37,37,36,38,32
1,3262001 23:00,,43,34,31,36,39,36,40,40,23,39,34,37,35,40,35,38,37,39,32,39,36,37,30,37,36
1,3272001 0:00,,36,34,31,34,39,36,37,39,23,37,32,36,34,39,36,37,34,39,32,36,35,32,36,36,36
1,3272001 1:00,,36,32,30,33,36,34,37,37,21,36,31,36,32,39,35,37,33,39,30,37,34,33,36,35,34
1,3272001 2:00,,36,32,29,34,34,34,36,35,21,35,29,34,30,38,31,36,34,39,30,36,34,34,36,33,31
1,3272001 3:00,,36,32,28,31,34,32,35,34,21,34,29,32,30,38,31,36,31,37,29,36,33,32,34,32,30
1,3272001 4:00,,32,30,25,32,33,32,34,33,19,33,27,32,27,37,29,35,32,36,28,34,33,32,32,30,27
1,3272001 5:00,,31,28,27,31,32,30,33,32,21,32,26,32,25,37,26,35,31,36,25,34,32,30,30,29,26
1,3272001 6:00,,30,28,25,30,32,30,32,32,21,28,27,32,21,37,25,34,30,34,25,32,32,28,30,27,26
1,3272001 7:00,,33,28,26,30,31,32,33,31,21,32,27,32,28,38,27,34,30,34,27,32,33,32,30,28,28
1,3272001 8:00,,36,32,29,34,31,35,35,31,23,32,31,36,36,40,32,37,34,37,32,36,34,34,36,33,33
1,3272001 9:00,,39,36,32,36,39,38,39,38,27,37,33,36,39,41,34,41,36,41,34,39,35,37,39,35,35
1,3272001 10:00,,43,36,35,40,45,39,41,43,28,41,36,37,39,42,37,45,40,43,36,43,36,41,43,38,37
1,3272001 11:00,,45,37,38,43,50,42,43,47,32,41,36,39,41,43,40,47,43,45,37,45,37,43,43,40,39
1,3272001 12:00,,46,37,42,44,53,42,46,51,32,43,39,41,45,43,41,49,44,46,39,48,39,43,45,41,39
1,3272001 13:00,,48,41,44,45,55,44,47,53,36,46,42,43,47,43,43,50,45,47,43,48,39,45,48,44,43
1,3272001 14:00,,52,43,45,47,57,43,48,56,36,45,43,45,48,43,45,51,47,48,44,50,39,45,50,46,45
1,3272001 15:00,,54,45,46,48,58,45,48,57,36,45,43,45,52,42,45,52,48,48,45,50,40,46,50,49,46
1,3272001 16:00,,50,45,47,49,58,45,48,58,36,46,44,46,52,42,46,52,49,48,45,52,42,46,52,48,47
1,3272001 17:00,,50,45,46,50,56,42,48,58,36,46,45,46,52,40,46,52,50,48,45,50,42,46,52,48,46
1,3272001 18:00,,50,43,44,49,54,39,45,56,36,46,44,46,48,38,44,50,49,45,45,48,41,45,50,47,45
1,3272001 19:00,,43,36,40,44,50,36,42,53,32,45,43,41,39,36,36,45,44,43,43,45,39,43,46,41,38
1,3272001 20:00,,37,32,38,46,45,36,40,48,32,41,41,37,36,36,34,41,46,41,41,41,38,41,41,40,37
1,3272001 21:00,,34,32,36,44,42,35,40,44,32,37,36,36,28,36,32,39,44,39,37,39,37,37,37,35,33
1,3272001 22:00,,30,30,34,43,40,32,35,41,28,36,33,36,28,37,31,37,34,37,36,38,37,34,32,34,31
1,3272001 23:00,,37,30,33,42,38,28,34,39,28,36,34,36,27,36,30,35,30,37,34,38,33,32,34,31,30
1,3282001 0:00,,27,28,31,39,37,31,35,38,28,34,33,36,25,36,31,34,38,34,34,37,31,32,30,31,29
1,3282001 1:00,,29,28,28,36,36,30,32,36,28,32,32,32,25,37,29,34,36,32,32,36,30,32,30,29,28
1,3282001 2:00,,30,28,26,34,33,27,33,33,28,32,32,32,23,37,27,33,34,37,32,36,29,32,28,28,29
1,3282001 3:00,,31,28,26,32,32,27,33,32,27,30,32,30,23,37,24,32,32,38,30,36,37,32,28,27,27
1,3282001 4:00,,30,28,25,33,31,26,33,30,21,28,31,32,21,37,25,33,33,28,28,32,38,32,28,27,27
1,3282001 5:00,,29,28,23,32,30,25,30,29,21,28,30,28,21,37,26,32,32,28,27,32,37,28,28,27,27
1,3282001 6:00,,23,28,22,31,29,25,34,28,21,28,30,28,21,37,25,31,31,28,27,28,37,27,27,27,25
1,3282001 7:00,,27,28,23,32,28,30,37,27,19,30,30,28,26,40,27,34,32,32,28,32,38,32,27,28,28
1,3282001 8:00,,36,34,27,38,28,39,41,27,27,37,32,36,37,43,35,42,38,43,36,39,40,36,34,36,34
1,3282001 9:00,,45,37,35,42,36,43,45,34,30,43,37,41,43,44,40,48,42,45,37,45,41,41,43,42,40
1,3282001 10:00,,48,41,40,46,41,45,47,39,36,46,42,43,35,45,43,49,46,46,41,48,42,45,46,45,43
1,3282001 11:00,,48,45,43,49,45,46,49,43,37,48,45,46,46,46,46,49,49,48,43,50,43,46,50,46,45
1,3282001 12:00,,54,46,47,50,48,48,50,46,41,50,48,50,52,47,49,50,50,50,45,54,43,50,55,49,47
1,3282001 13:00,,55,52,49,52,51,49,52,49,41,52,49,50,43,48,51,52,52,50,50,54,43,54,55,53,49
1,3282001 14:00,,55,52,52,53,52,50,53,51,43,54,51,52,44,48,53,54,53,52,50,55,46,54,55,54,52
1,3282001 15:00,,57,52,52,55,53,48,52,52,45,55,52,55,45,47,54,53,55,52,52,55,45,55,55,55,52
1,3282001 16:00,,57,54,52,56,53,49,53,53,45,55,53,55,46,46,54,53,56,52,52,55,46,55,55,56,52
1,3282001 17:00,,57,54,51,55,52,48,51,53,43,55,53,55,46,46,54,52,55,50,52,54,45,55,55,55,54
1,3282001 18:00,,54,52,48,53,50,44,49,52,41,54,52,55,46,43,52,50,53,46,52,52,43,54,55,54,52
1,3282001 19:00,,52,45,47,52,47,41,45,49,37,50,48,52,48,42,48,48,52,45,48,48,41,50,52,50,45
1,3282001 20:00,,42,45,46,52,44,40,44,47,37,48,46,46,43,42,47,45,52,43,43,46,40,46,45,48,40
1,3282001 21:00,,39,41,46,51,42,37,42,46,37,45,46,46,41,43,42,44,51,43,45,45,39,45,46,46,44
1,3282001 22:00,,37,39,46,50,40,38,42,48,37,43,46,46,40,44,40,50,50,44,45,44,39,43,48,46,42
1,3282001 23:00,,36,37,46,51,39,40,41,48,37,43,45,46,40,44,43,46,50,44,45,44,39,43,46,45,39
1,3292001 0:00,,35,36,45,49,38,41,42,48,36,44,45,46,39,46,45,46,49,46,45,45,38,43,45,45,41
1,3292001 1:00,,34,37,42,45,37,42,43,48,40,45,46,45,38,52,45,46,45,47,45,45,40,43,43,45,42
1,3292001 2:00,,32,39,41,44,36,44,45,44,32,45,43,43,37,52,43,46,44,50,45,45,41,43,43,44,41
1,3292001 3:00,,31,39,41,43,35,44,46,42,32,43,42,41,37,53,41,48,43,52,43,46,42,43,41,40,40
1,3292001 4:00,,29,39,39,42,34,45,47,42,32,41,41,41,36,53,39,48,42,50,41,48,43,43,41,40,40
1,3292001 5:00,,28,39,38,41,33,45,48,42,32,41,40,41,36,54,39,48,41,54,41,48,44,43,42,40,40
1,3292001 6:00,,28,39,38,41,33,46,49,42,32,41,40,41,35,54,39,48,40,59,37,52,43,45,42,40,41
1,3292001 7:00,,27,41,38,41,32,46,50,43,32,43,40,41,35,54,39,51,40,55,37,50,42,45,43,42,41
1,3292001 8:00,,27,43,38,41,32,48,54,44,32,43,40,41,35,54,40,60,41,57,37,54,43,46,44,42,42
1,3292001 9:00,,36,45,38,41,41,51,56,45,32,46,39,41,40,56,41,61,41,60,39,61,45,50,45,43,44
1,3292001 10:00,,43,52,39,42,47,54,60,46,32,50,39,41,44,58,42,61,42,59,39,61,46,54,45,43,45
1,3292001 11:00,,48,52,39,42,52,56,60,46,34,54,39,41,47,60,42,63,42,61,41,61,49,55,45,44,49
1,3292001 12:00,,52,54,40,43,56,56,60,48,36,57,40,43,50,60,42,63,43,63,41,63,53,59,46,44,50
1,3292001 13:00,,55,54,42,43,58,57,61,49,36,61,41,43,52,59,43,64,43,63,43,63,56,61,48,44,52
1,3292001 14:00,,57,55,43,43,60,57,64,51,36,61,41,43,53,61,45,65,43,64,43,63,55,61,48,45,54
1,3292001 15:00,,58,55,44,43,61,56,65,54,37,61,41,43,54,60,45,66,43,66,43,66,54,61,50,45,57
1,3292001 16:00,,58,57,44,43,61,57,67,59,36,63,41,43,55,62,45,66,43,66,43,66,53,63,50,46,59
1,3292001 17:00,,57,59,44,43,60,57,67,65,36,64,41,43,55,62,44,64,43,66,41,64,53,64,52,47,60
1,3292001 18:00,,56,59,44,43,58,59,67,58,36,64,41,43,55,62,45,64,43,66,43,64,55,64,54,47,62
1,3292001 19:00,,54,63,45,43,55,61,65,57,36,64,41,45,53,62,48,65,43,64,43,64,57,63,59,50,63
1,3292001 20:00,,49,63,45,43,51,61,66,55,36,62,41,45,45,63,49,65,43,65,43,64,58,64,68,57,63
1,3292001 21:00,,56,63,45,43,49,61,67,53,36,60,41,45,52,63,49,65,43,66,43,65,59,64,68,65,63
1,3292001 22:00,,63,64,45,42,47,62,67,52,36,59,41,45,45,63,49,66,42,66,50,66,59,66,66,64,65
1,3292001 23:00,,62,64,45,43,46,63,67,51,36,58,41,45,45,63,48,66,43,66,43,66,60,68,64,62,65
1,3302001 0:00,,61,64,45,43,45,66,66,51,36,64,41,45,45,63,56,66,43,64,43,66,61,66,64,58,65
1,3302001 1:00,,53,64,45,44,45,66,66,50,37,63,41,43,45,61,54,67,44,66,43,64,62,64,63,54,65
1,3302001 2:00,,45,64,45,43,43,64,67,49,37,66,41,43,45,61,47,64,43,64,43,64,64,64,61,52,64
1,3302001 3:00,,45,64,45,43,42,63,65,48,37,63,41,43,45,62,46,63,43,64,43,63,63,64,59,51,64
